ticket,open_time,type,size,symbol,open_price,sl,tp,close_time,close_price,commission,taxes,swap,profit,comment
107301719,2026.01.06 16:33:04,buy,1.00,xauusd,4476.10,4477.28,4485.93,2026.01.06 16:33:08,4477.28,0.00,0.00,0.00,118.00,#999777 SMC Trail[sl]
107301722,2026.01.06 16:33:04,buy,1.00,xauusd,4476.15,4476.15,4485.93,2026.01.06 16:33:24,4476.15,0.00,0.00,0.00,0.00,#999777 SMC BE[sl]
107312646,2026.01.06 19:55:38,buy,1.00,xauusd,4491.67,4486.55,4501.55,2026.01.06 20:03:00,4486.55,0.00,0.00,0.00,-512.00,#999777 SMC Trail[sl]
107312650,2026.01.06 19:55:38,buy,1.00,xauusd,4491.45,4486.55,4501.55,2026.01.06 20:03:00,4486.55,0.00,0.00,0.00,-490.00,#999777 SMC BE[sl]
107317382,2026.01.06 22:57:31,buy,1.00,xauusd,4494.63,4495.82,4504.35,2026.01.06 22:58:25,4495.82,0.00,0.00,0.00,119.00,#999777 SMC Trail[sl]
107317384,2026.01.06 22:57:31,buy,1.00,xauusd,4494.50,4494.50,4504.35,2026.01.06 22:59:30,4494.50,0.00,0.00,0.00,0.00,#999777 SMC BE[sl]
107322646,2026.01.07 03:06:50,sell,1.00,xauusd,4477.23,4473.16,4467.23,2026.01.07 03:07:20,4473.16,0.00,0.00,0.00,407.00,#999777 SMC Trail[sl]
107322649,2026.01.07 03:06:50,sell,1.00,xauusd,4476.77,4476.77,4467.23,2026.01.07 03:08:33,4476.77,0.00,0.00,0.00,0.00,#999777 SMC BE[sl]
107331105,2026.01.07 07:33:00,sell,1.00,xauusd,4459.20,4454.01,4449.29,2026.01.07 07:34:10,4454.01,0.00,0.00,0.00,519.00,#999777 SMC Trail[sl]
107331111,2026.01.07 07:33:00,sell,1.00,xauusd,4459.03,4459.03,4449.29,2026.01.07 07:43:36,4449.29,0.00,0.00,0.00,974.00,#999777 SMC BE[tp]
107345470,2026.01.07 14:18:54,sell,1.00,xauusd,4440.98,4440.34,4431.34,2026.01.07 14:20:08,4440.34,0.00,0.00,0.00,64.00,#999777 SMC Trail[sl]
107345474,2026.01.07 14:18:54,sell,1.00,xauusd,4441.10,4441.10,4431.34,2026.01.07 14:20:12,4441.10,0.00,0.00,0.00,0.00,#999777 SMC BE[sl]
107375031,2026.01.08 03:00:35,sell,1.00,xauusd,4445.09,4449.90,4434.90,2026.01.08 03:01:43,4449.90,0.00,0.00,0.00,-481.00,#999777 SMC Trail[sl]
